temoignages_bootcamp_complet;;;;;
Name;Title;Startup;Bootcamp number;Testimony;Type de bootcamp
Michaël Pastor;CEO;Vrombr;16;"Once again, we say to ourselves that if we had known, we would have done it before!! The academy allowed us to refocus on clear objectives that were in line with our situation. We came out of it feeling better and more aligned among our partners. Exchanging ideas with Pierre every day is truly enriching; it requires work, but it's super beneficial!";The Compass
Yoran Brault;CTO;ArNuméral;16;"When you're both CTO and co-founder, the main challenge is making decisions outside the ""tech"" framework and taking responsibility for them collectively.

Having already created a startup with Julie (CEO), I tried everything to escape the untenable ""me tech, you... the rest"" paradigm: books, courses, various ""support""... Everything ended in a waste of time and money, often both.

For me, the first major strength of the 34 Elements approach is that we only talk about ""product"" at the very end of the process, which forced me from the very beginning to let go of the only thing I've mastered a little...

The method itself is very well suited to a Cartesian mindset, because everything flows together in a fluid logic, without any awkward transitions, punctuated by the only practical example that interests us: our own.

Finally, there's the ""magic"" ingredient in this story: Pierre, who analyzes, dissects, and often takes apart our daily productions without the slightest compromise, but always with simplicity and genuine kindness.

This very intense month of bootcamp really helped me progress. Rest assured, I didn't become a salesperson, but today, I finally have a shared culture with my co-founder that allows us to be aligned in our decisions.";The Compass
Joel Hierrezuelo;CEO;rushup.io;17;"Here's what I'm thinking: What if entrepreneurship started with 34 Elements?
When Pierre takes apart the nuts and bolts of your business one by one, you have only one option: review all your most solid analyses and arguments.
Each challenge is based on solid expertise and a powerful approach that challenges speeches and advice that are sometimes devoid of experience and logic.
Sharing knowledge—that's my take on 34 Elements! Imposing discipline on yourself, asking the right questions, and seeing how even the most complex and technical subjects become clear and achievable.
Our vision is clearer, and our strategy is already refined.
Pierre is here to help you progress with an effective, unfiltered method. The master sessions are top-notch, the one-on-ones are perfect,
and the results are there, and above all, you find the answers that move you forward.
After this Bootcamp, we never approach our business issues the same way again.";The Compass
Farah Kernou;CEO;Claym;17;"""In a time of uncertainty and questioning my Product Market Fit, I decided to do this bootcamp, which was recommended to me by several successful entrepreneurs. It's one of the best investments I've made since launching Claym. While it does come at a cost for a new entrepreneur, the return on investment is multiplied, and if I could have done it earlier, I would have. This bootcamp is worth all the acceleration programs I've ever tried. Pierre provides an effective, easily understandable method that allows you to put all the aspects covered into practice in one month. It's very structured, and I'm delighted to be part of the community today. Thanks to Pierre, I've understood the importance of topics I hadn't even considered before. Many thanks again to Pierre, and I remain at your disposal if you'd like to chat directly or have any questions.”";The Compass
Laurence Descamps;CEO;Ipesland;18;"After working in two incubators that I won't name, the meeting with Pierre Gaubil came at just the right time to support our pivot. The support is effective, demanding, and rather time-consuming because it forces us to ask the right questions and address disillusionment at a rapid pace. This is someone who knows what he's talking about, unlike others, as he's already started companies and has experience. I don't know what will become of Ipesland, but I learned a lot to find our new target and get us back on track.
Thanks again, Pierre!";The Compass
Astride Darmon Rouzin;COO;Augment 3D;18;"""What I took away from this experience was a pragmatic approach that encouraged deep reflection on the fundamentals of one's business, several pit stops, the famous """"why,"""" the """"problem,"""" unlike the intuitions we often have when we have a startup idea. When you create your business, you're in an F1 car, you spread yourself a little thin, you don't take much time to stop by the pits, take breaks, you skim over certain topics, you watch your competitors on the track. This is ultra-concrete and actionable, which goes beyond a masterclass where you're sometimes a spectator, since you're the one doing the exercise, and therefore the one answering your own doubts and questions. You're in charge of your plan.”";The Compass
Ghalia Alami;CEO;Mooji;18;There is a lot of content on entrepreneurship and the keys to business success. But Pierre is the only one who has managed to build a clear, concise, and very actionable program to move from theory to real answers and levers for his business. Also, Pierre presents dense and complex information in a very clear manner. Thanks to his bootcamp, we understood our levers of action and made key decisions.;The Compass
Basma Sadani;COO;Deplano;19;"A month ago, my co-founder and I attended Pierre Gaubil's 34 Elements Academy Bootcamp, and what I can tell you is that you won't come out of it unscathed, but that's actually a good thing.

Pierre is indeed the other voice you should hear at least once in your entrepreneurial adventure, and preferably at the beginning!
Pierre challenges you, pushes you to your limits every day of the Bootcamp, and asks you the painful questions that you've been avoiding until now, either out of comfort or intellectual laziness.
His pragmatism and unique methodology led us to relentlessly challenge our initial ""assumptions."" And in such a short time, we've made giant strides in our project, resulting in a clearer positioning of our service, better identified customer targets, and relevant strategic decisions.";The Compass
Dominique Lin;CEO;Promptility Research;19;Over the course of four weeks, Pierre gave us a 360-degree tour of our startup. He helped us gain perspective, but also led us to re-examine critical points that we always put off. Furthermore, although I was initially skeptical about the 15-minute follow-up sessions, I quickly realized their relevance. Finally, a big thank you for the time he decided to dedicate to the entrepreneurs.;The Compass
Florent de Salaberry;CEO;Draw me a garden;20;"My partner and I just finished a month-long 34 Elements bootcamp with Pierre. An incredible 20-day session that followed one another, incredibly dense and rich. Many of our paradigms and mistakes became very clear to us. The need to be consistent from start to finish, to sometimes revisit topics that we thought were clear and transparent, to rebuild everything up to the roadmap and the ""Go to Market"", became obvious at the end. If we had been able to do this earlier, we would have saved a lot of time, efficiency, and money - even if we also capitalized on the progress made and the lessons and mistakes made. It is also a very concrete and pragmatic, operational journey, with actions that we are currently implementing. Far from a theoretical and academic vision, as one can learn in renowned MBAs. Another striking element is the rereading we are doing at the moment, to re-appropriate the dozens of pages of notes, reflections and exercises. Rereading to identify the general vision and the path, and to be sure that we have not missed anything, is almost as involving as this past month. This is how we realize that Pierre has a perfect mastery of his subject, which leads to a very coherent structuring of reflections, coherence that we continue to understand even now. One of the strongest learnings is the discovery (and questioning) of the ""Core Action"" of the client. This changes our perspectives. I won't say more because we have to discover it with Pierre 🙂 Incredible results, then. Looking forward to the fruits of this work. We have already recommended this bootcamp to many people!";The Compass
Barthélémy Fosse;CEO;Emycare;21;5 weeks to start over and question what already exists. Pierre brings his experience, with rigor and kindness. At the end of the bootcamp, Emycare's vision and mission are identified and the priorities are clear. 34 elements is an investment that I would recommend to all my friends founding a startup.;The Compass
Benjamin Latli;CEO;Jiccee;21;Clear words, advice that can be applied the same day. Pierre puts things right. Pierre understood our business perfectly and provided us with radically original and relevant advice during each exchange. In terms of metrics, 15 minutes of one-on-one time is equivalent to a month of strategic thinking. Thank you, Pierre, for your pragmatism and kindness throughout this bootcamp.;The Compass
Michael Ferrec;CEO;Inspeere;21;"""Olivier and I led this bootcamp as a founding team. Beyond the relevance of Pierre's highly pragmatic and relevant method, this bootcamp also had the significant benefit of aligning us, as partners, on the essential issues of our project. This was work that would have taken months with uncertain chances of success. One of our best investments, one we should have made sooner.”";The Compass
Francis Meleard;CEO;P3;22;Pierre Gaubil's bootcamp came at just the right time for our startup, just a few weeks before our product launch. This experience was a real catalyst, allowing us to align our visions as co-founders on crucial aspects of our startup. What particularly struck us was Pierre's straightforward approach. Pierre gets straight to the point. No blah blah about our product. We leave with concrete actions and a clear direction. He has this ability to cut to the chase, eliminating the superfluous to keep only the essentials. We realized that a prospect, even a promising one, is worthless without a defined sales trajectory. Every interaction must serve the company's objectives, period. This bootcamp redefined our values, refined our positioning, and reframed our go-to-market strategy. Pierre forced us to see our startup from a new perspective: more strategic, more focused. Thank you, Pierre. You shook us up, shook us out of our certainties. It was necessary. Thanks to you, we're approaching the launch with a clear vision and renewed energy. We're going to rock.;The Compass
Benoit Duhamel;CEO;Supply Group;23;"Participating in the 34Elements bootcamp was a truly transformative experience. Pierre Gaubil has a real ability to create a stimulating and caring environment, where each participant is encouraged to think differently, push their limits, and adopt a clear strategic vision. The lessons are concrete, with directly applicable methodologies and honest and relevant feedback. What I particularly appreciated was the exchanges with the other participants, which allowed us not only to grow individually, but also together. The daily one-on-ones with Pierre are impactful! If you are looking to structure your thinking, accelerate your projects, and gain confidence in your strategic choices, I can only recommend 34Elements. This bootcamp is not just a training program; it is a no-bullshit exchange that will really move you forward.";The Compass
Sylvain Denoncin;CEO;Okeenea;23;The Bootcamp we did with Pierre was by far the most useful for us, compared to the 5 other incubators, accelerators, and other bootcamps we had already attended. In just one month, we came away with a clear and concrete vision of the priority areas to work on to accelerate our development.;The Compass
Didier Delhez;CEO;MeepleJack;23;"Pierre cast his expert eye over my project, grasped its essence, and helped me effectively align it with the path to success, while opening doors I had previously overlooked.
I left his academy more confident and better prepared. Thank you so much!";The Compass
Solenne Bocquillon-Le Goaziou;CEO;Softkids;24;I had the opportunity to attend the 34 Elements bootcamp, and I highly recommend it to any entrepreneur looking to gain clarity and efficiency. This program is pragmatic, ultra-focused, and above all, adaptable to my CEO schedule, which was an essential criterion for me. In just 30 days, it allowed me to review the fundamentals of my business and structure my thinking to make better strategic decisions with confidence. Pierre Gaubil gets straight to the point. His approach is demanding, without frills, but always constructive. The individual sessions are intense and impactful, and the methodologies he shares are immediately applicable. If you're looking for a program that challenges you, forces you to ask yourself the right questions, and helps you structure the brain of your startup, this is the one for you. An investment with a high ROI, both in time and impact.;The Compass
Tao Xu;CEO;Lilikiwi;24;To be honest, I wasn't a fan of business training at first. I thought that since every business is different, there was no set protocol to follow. However, after the bootcamp, we restructured our thinking about our business and realized that we lacked structure in managing all the essential elements. It gave us a new perspective on our small business.;The Compass
Zaak Chalal;CEO;Mobioos;24;"""I was fortunate enough to attend the 34 Elements Bootcamp, and it is, without a doubt, one of the most profitable investments I've made as an entrepreneur. With several startups under my belt, I thought I had solid beliefs about business, product, and growth. However, this program successfully challenged, structured, and reinforced my beliefs. Some were confirmed, others were shaken up—and that's precisely the value of this training. Pierre leaves nothing to chance: every decision must be measurable, every pillar of the company must be rigorously managed. He implements methods, values, and metrics that allow me to build a sustainable and scalable company. If I had to choose between an 18-month MBA and the 34 Elements Bootcamp, I would choose the latter without hesitation. In 30 days, I gained clarity, method, and impact. Do you want to build a business based on concrete facts, not assumptions? Do you want demanding, pragmatic, and structured support? Then go for it.”";The Compass
Jean Christophe Laurent;CEO;Penon Partners;24;I just finished the 34-element bootcamp with Pierre Gaubil and wanted to share my experience. The proposed method is solid, based on very pragmatic know-how and full of common sense. The sequence of group and individual sessions with a daily cadence forces you to move forward day by day on all the topics covered, without penalizing you in your daily life. Pierre's expertise and experience make the difference - he doesn't hesitate to challenge you, give you new and relevant angles on your positioning, your products, your customers... and offers you powerful insights into your business throughout the bootcamp with valuable recommendations. The group effect is real and gives a warm dimension to the experience. I highly recommend you participate if you want to review the fundamentals of your start-up/SME, be challenged with kindness, and obtain relevant keys that will allow you to scale. It's worth it!;The Compass
Iris Ramos;CEO;Step;25;Participating in Pierre Gaubil's bootcamp was a very good investment, both professionally and personally. I found much more than just training: it's a real accelerator of skills, ambition, and clarity. Pierre generously shares his experience as an entrepreneur and investor, with rare candor. He doesn't sell dreams: he gives you concrete tools, proven strategies, and above all, the mindset to build a solid, scalable project aligned with the market. What I appreciated most was the demanding nature of the program, mixed with a caring atmosphere. You are challenged, but always in the right way. At the end of the bootcamp, I not only had a much clearer vision of my project, but also a network of highly motivated founders, all ready to help each other (they were just as helpful as Pierre). I 100% recommend this bootcamp to anyone who is serious about building an impactful business, raising money, or simply taking things to the next level.;The Compass
Gary Roth;CEO;Upstride;;The 34 Elements methodology combined with Pierre's exceptional mentorship has been a game changer for us and I would highly recommend any CEO, CTO or COO to take time out of their already busy schedule and work with 34 Elements. The ROI is immediate.;Coaching
Quentin Rousselot;CEO;Agrove;;Pierre forces you to make strong choices and focus on what matters. It's a common-sense, no-nonsense approach. It starts with the strategic vision, which we tend to forget in these times, being so product-focused. From there, everything he does across 34 elements makes sense, with clear business objectives.;Coaching
Corinne Grillet;CEO;Alygne;;"Working with Pierre and the 34 Elements app was a huge help in structuring how to look at our early-stage startup honestly and objectively. It was especially helpful in building strategic thinking and actionable elements around the ""non-product"" part: go-to-market, distribution channels, how to chart an early path to revenue. I would definitely recommend working with Pierre and his methodology and benefiting from his guidance and wealth of experience.";Coaching
Nicolas Chéry;CEO;Noléo;;I would highly recommend working with Pierre and using the software he developed to any entrepreneur, no matter what stage you are in, as he will provide unbiased/unfiltered constructive feedback that is usually hard to get from people.;Coaching
John Raucher;CEO;Cobot it;;Whether you're a serial entrepreneur or a new CEO, having Pierre thoughtfully challenge your growth strategy is an incredible gift you can give your startup. Pierre knows how to turn your big idea into a big success and shares his ideas freely and clearly. Thank you, Pierre!;Coaching
Olivier Borde;CEO;TOK1N;;"I just completed Pierre's video training, and I wasn't ready...
Pierre has a knack for giving advice, a legitimacy to recommend, and a very good teaching style. He enjoys sharing, helping entrepreneurs, and sharing his feedback with a very precise and supportive method that encourages you to ask the right questions.
When you take a video format, you expect to have to listen attentively, without interacting with the trainer... But I was surprised to see that this format also includes exercises to complete (like in the bootcamp), with exercises that aren't theoretical, but rather focused on the context of my startup and its product.
In addition, Pierre organizes one-on-one discussions via video (with WhatsApp support) to ensure understanding, follow-up, and explanations of our understanding of the method and how it applies to his business context, in the proposed exercises. And these exchanges don't stop at the end of the course; Pierre is available and remains present throughout the duration...
Having already delivered e-learning training, this is the first time I've seen this hybrid format, which transforms one-way video content into high-value training with a unique, clear, and precise method delivered by a trainer who embodies it fully.
For the company and its founder, there is clearly a before and after 34 Elements.";The Compass
Frederic Leens;CEO;Exostiv labs;;"""I took 'The Compass' video training course, and it's by far my best investment in """"startup CEO training"""" in a long time. First, the format is extremely effective. The in-person bootcamp tempted me, but... it was never possible to be away for several days. With the 'video' Compass, I set the pace, did the exercises, and chatted live with Pierre. In short, I worked on MY startup from day one, with a top-notch instructor. Then, the real value is the instructor. Pierre is a """"benevolent iconoclastic scientist"""" (yes, all that). He puts his finger on the sore spot and gives you the clarity you need to continue leading your startup. You know that feeling when something isn't right in your startup, but you're not sure what needs to change? Don't hesitate. This is for you.”";The Compass
Julien Boulinguez;CEO;Demain;;"""My partner and I followed the 34 Elements course, and it's by far one of the best online training courses I've ever taken. The structure is clear, the content is actionable, and above all, Pierre's personalized feedback, based on his own experience as an entrepreneur, is invaluable. It saved us a lot of time and clarified key points for the development of our startup. The self-paced video format is very valuable, and the result is there: a solid foundation, a clear vision, and a Notion we're proud of (and no, this post is not sponsored 😉) I definitely recommend it to any founder who wants to lay the right foundations from the start.""";The Compass
Tim Guillois;CEO;Mindhunters;1;Deconstructing everything to start anew on a powerful new foundation is what I did thanks to Pierre's Sales training. Sales is a science and a crucial discipline. If thanks to Pierre you increase your closing rate even a little, then it's the best investment of your year.;The Switch
Frederic Leens;CEO;Exostiv labs;1;Sales is THE essential skill for startup CEOs, and Switch is THE essential training course for understanding it and managing your prospects on YOUR terms. Are you tired of processes, recipes, funnels, and closing stats? With Pierre Gaubil, you'll understand that it's a science, a meticulous approach. Be careful, the essential prerequisite: questioning yourself. Brilliant and fun.;The Switch
Aurelien Coget;CEO;R2Devops;1;"The Switch made me love sales. Why? Because I now dedicate my time to the clients for whom I have the most impact. You learn to bring together all the elements that truly help clients make an informed decision, and that changes everything. No more uncomfortable ""clumsy salesperson"" position, which no one wants to be. With each module, you progress in a concrete way, you take action, and you get answers. How? Take the Switch, you'll understand.";The Switch
Bacely T.;CEO;Scorton;25;A huge thank you to Pierre Gaubil and the 34 Elements Bootcamp. This program allowed me to deconstruct all the illusions of growth that pollute the startup world. I finally understood what it means to look for (and find) a true Product-Market Fit. If you want to stop going around in circles and build a solid startup, go for it. It's concrete, real, and it transforms.;The Compass
Florent de Salaberry;CEO;Draw me a garden;2;"In two weeks, we:
validated the target customer and the messages we wanted to convey
understood that we had to decide when a customer was a good fit
identified how to create urgency
given the value for customers
and worked on how to accelerate the decision, with good timing.
The added value is truly enormous in just a few days.
We changed our questioning during the first exchange with a customer. Surprisingly, we now start with two closed questions, before opening up to better discover and listen. We were able to implement this the very next day, and the results are quite incredible. We don't have the figures yet, but the impressions we're getting from our customers are incredible.
We also re-emphasized the work needed to create urgency, and we realized that there are elements that seem basic, but are essential: reiterating the facts, reminding customers how much of a problem they have to solve. We're almost no longer in a mode of questioning, but of assertion. Here again, by trying every day with the team, the impact is significant.
And finally, the work to understand what the right timing is for clients and what factors can accelerate or slow things down. This really helped us review our questioning method and our playbook.
Great, Pierre, thank you so much!";The Switch
Jean Christophe Le Ho;CEO;Just WC;2;"Pierre Gaubil's ""The Switch"" really revolutionized our approach to prospects: in just a few hours, we rethought our entire sales process, we tested it immediately, and the results were felt from the very first calls. It's short, concrete, and well-oiled—frankly, go for it.";The Switch
Zaak Chalal;CEO;Moobius;2;"After several startups, one challenge kept coming up: getting out of my technical comfort zone to truly put myself in the customer's shoes. As someone with a very tech-focused background, I thought I could do it. In reality, I remained unconsciously attached to my area of expertise.

Pierre's sales training was a real turning point. I learned to understand the real business challenges of my interlocutors, without trying to reduce everything to technical aspects. I finally cut the cord with this dependence on 'proof by tech'.

Thank you, Pierre, for helping me bridge this gap. I feel aligned, more clear-headed, and above all, closer to my customers.";The Switch
